Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1.1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1.1,HUB Buyers Pin code
32,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
33,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
34,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_PNY,Peenya,1.12E+13,"Plot No.441, Peenya 4th Phase Industrial Area, Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District - 560058","Plot No.441, Peenya 4th Phase Industrial Area","Situated in Survey No.88 of Nallakadaranahalli Village, Yeshwanthpura Hobli, Bengaluru North Taluk, Bengaluru District, Karnataka",560058
35,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KSL,Kanakapura,1.12E+13,"145, 100ft Road, BDA BSK 6th Stage Vajarahalli, Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560062","145, 100ft Road, BDA BSK 6th Stage Vajarahalli","Bangalore South, Talaghatpura, Bangalore, Bengaluru (Bangalore) Urban, Karnataka",560062
36,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
37,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,MYS_AGR,Mysore,1.12E+13,"No 81, Koorgalli Industrial Area, Mysore, Bengaluru (Bangalore) Urban, Karnataka, 570018","No 81, Koorgalli Industrial Area","Mysore, Bengaluru (Bangalore) Urban, Karnataka",570018
38,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_SUTLEJ,Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
39,Karnataka,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,29AAPCA1708D1ZS,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KML_HRC,Koramangala,1.12E+13,"350/3, behind Hamsa Service,Hosur Road, Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka, 560029","350/3, behind Hamsa Service,Hosur Road","Dharmaram College P.O, Bengaluru (Bangalore) Urban, Karnataka",560029
40,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_KDL,Kempegowda-Sutlej,1.12E+13,"Sy. No.32/1, Konappana Agrahara, Electronic City, Bangalore South, Bengaluru - 560100 Karnataka","Sy. No.32/1, Konappana Agrahara","Electronic City, Bangalore South, Bengaluru, Karnataka",560100
41,Karnataka,BODEGA RETAIL PRIVATE LIMITED,29AAHCB1357R1Z1,FC,FC-Arihant,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli","Village Kasaba, Hobli, Nelamangala Taluka, Bengaluru (Bangalore) Rural, Karnataka",562123,Active,HUB,BLR_MRT,Maruthi,1.12E+13,"Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road, Behind Graphite India/IFB Factory, Bengaluru - 560048","Sy. No.35, Doddanakundi Industrial Area, 2nd Main Road","Behind Graphite India/IFB Factory, Bengaluru, Karnataka",560048
